"","combination","rep","temp","NBE","AUC.RR_exp","AUC.RR_obs","AUC.spp","N"
"208","ADGR",1,"Increase + Fluctuation",0.177167910539486,0.162206405450672,0.339374315990158,-0.595583197970885,4
"209","AGRT",1,"Increase + Fluctuation",-0.172217401340109,-0.0754409344768061,-0.247658335816915,-0.710756642452746,4
"210","ADGT",1,"Increase + Fluctuation",3.73724901861995,-1.33502833043522,2.40222068818472,-0.674489253990515,4
"211","ADRT",3,"Increase + Fluctuation",-0.754406526034637,-2.22876647137633,-2.98317299741096,-0.409715252656531,4
"212","ADGR",3,"Increase + Fluctuation",2.9965670172359,-2.22659504234259,0.76997197489331,-0.399446739539341,4
"213","AGRT",3,"Increase + Fluctuation",0.993180453997057,-2.46873684649184,-1.47555639249479,-0.138561049126958,4
"214","ADGT",3,"Increase + Fluctuation",2.42963732910034,-2.01026086934954,0.4193764597508,-0.376307859902419,4
"215","ADGRT",3,"Increase + Fluctuation",3.07354502291333,-2.15505613773337,0.918488885179957,-0.319096502384448,5
"216","ADRT",2,"Increase",-3.74447700139225,0.0604157418594339,-3.68406125953282,-0.385733344126567,4
"217","ADGRT",2,"Increase",-0.632011685593198,0.406213457590891,-0.225798228002307,-0.731387569814002,5
"218","ADGT",2,"Increase",1.37788564812106,-1.66413080846726,-0.286245160346203,0.0589541237482382,4
"219","ADGR",2,"Increase",-4.44061393375534,1.14390027163736,-3.29671366211798,-0.562860614708602,4
"220","AGRT",2,"Increase",0.068532081134853,0.331455288009453,0.399987369144306,-0.171813203108668,4
"221","ADRT",3,"Increase",-3.40044961122045,0.0393821792495623,-3.36106743197089,-0.116995606358399,4
"222","AGRT",3,"Increase",-0.656845969081474,-0.0669122110625338,-0.723758180144008,0.436910173700789,4
"223","ADGRT",3,"Increase",-0.561992945280501,0.0776594363189383,-0.484333508961562,-0.214285279195131,5
"224","ADGT",3,"Increase",1.20437100733989,-1.77158400163632,-0.567212994296428,0.493486856843178,4
"225","ADGR",3,"Increase",-3.89972920520384,1.00639652003191,-2.89333268517193,-0.481054530405962,4
"226","ADGR",3,"Increase + Fluctuation",2.9965670172359,-2.22659504234259,0.76997197489331,0.533857023129624,4
"227","ADGRT",3,"Increase + Fluctuation",3.07354502291333,-2.15505613773337,0.918488885179957,0.144411325712764,5
