"","row","method","treat","combination","column","blank","fileName","sampling","value","ID"
"142","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s8.txt",8,97,"A_Low_1"
"143","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s7.txt",7,81,"A_Low_1"
"144","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s6.txt",6,93,"A_Low_1"
"145","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s5.txt",5,42,"A_Low_1"
"146","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s4.txt",4,14,"A_Low_1"
"147","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s3.txt",3,7,"A_Low_1"
"148","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s2.txt",2,11,"A_Low_1"
"149","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s15.txt",15,158,"A_Low_1"
"150","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s14.txt",14,204,"A_Low_1"
"151","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s13.txt",13,131,"A_Low_1"
"152","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s12.txt",12,132,"A_Low_1"
"153","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s10.txt",10,111,"A_Low_1"
"154","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s1.txt",1,7,"A_Low_1"
"155","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s9.txt",9,58,"D_Low_1"
"156","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s8.txt",8,82,"D_Low_1"
"157","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s7.txt",7,33,"D_Low_1"
"158","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s6.txt",6,23,"D_Low_1"
"159","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s5.txt",5,31,"D_Low_1"
"160","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s4.txt",4,5,"D_Low_1"
"161","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s3.txt",3,22,"D_Low_1"
"162","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s2.txt",2,10,"D_Low_1"
"163","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s15.txt",15,11,"D_Low_1"
"164","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s14.txt",14,17,"D_Low_1"
"165","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s13.txt",13,23,"D_Low_1"
"166","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s12.txt",12,13,"D_Low_1"
"167","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s10.txt",10,38,"D_Low_1"
"168","C","440,660","flucinc","mono","V2",9,"./flucinc_mono_s1.txt",1,1,"D_Low_1"
"169","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s9.txt",9,4,"G_Low_1"
"170","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s8.txt",8,5,"G_Low_1"
"171","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s7.txt",7,6,"G_Low_1"
"172","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s6.txt",6,4,"G_Low_1"
"173","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s5.txt",5,6,"G_Low_1"
